Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,443
design__inferred_latch__count,0
design__instance__count,4165
design__instance__area,11902.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0014744286891072989
power__switching__total,0.001183252432383597
power__leakage__total,2.2823270384719763E-8
power__total,0.0026577040553092957
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2605156997197464
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26241462523477055
timing__hold__ws__corner:nom_tt_025C_1v80,0.3307498257782469
timing__setup__ws__corner:nom_tt_025C_1v80,1.9055326744751615
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.330750
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.266938229076542
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26876487907061897
timing__hold__ws__corner:nom_ss_100C_1v60,0.9309886458598283
timing__setup__ws__corner:nom_ss_100C_1v60,-3.3712029677594555
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-46.76527741865146
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-3.3712029677594555
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.930989
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,21
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.437261
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25845210036993743
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2603752842587357
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11239753890193832
timing__setup__ws__corner:nom_ff_n40C_1v95,4.1052664651907875
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112398
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,8
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2572037378101672
clock__skew__worst_setup,0.2584404430278492
timing__hold__ws,0.10997841837401394
timing__setup__ws,-3.4900732181003216
timing__hold__tns,0.0
timing__setup__tns,-48.60995299426603
timing__hold__wns,0
timing__setup__wns,-3.4900732181003216
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109978
timing__hold_r2r_vio__count,0
timing__setup_vio__count,63
timing__setup_r2r__ws,6.378730
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 500.0 500.0
design__core__bbox,5.52 10.88 494.04 486.88
design__io,56
design__die__area,250000
design__core__area,232536
design__instance__count__stdcell,4165
design__instance__area__stdcell,11902.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0511864
design__instance__utilization__stdcell,0.0511864
design__instance__count__class:inverter,12
design__instance__count__class:sequential_cell,66
design__instance__count__class:multi_input_combinational_cell,630
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,19903
design__instance__count__class:tap_cell,3274
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,54
design__io__hpwl,12419495
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,24919.7
design__violations,0
design__instance__count__class:timing_repair_buffer,163
design__instance__count__class:clock_buffer,10
design__instance__count__class:clock_inverter,6
design__instance__count__setup_buffer,22
design__instance__count__hold_buffer,31
antenna__violating__nets,2
antenna__violating__pins,3
route__antenna_violation__count,2
antenna_diodes_count,4
design__instance__count__class:antenna_cell,4
route__net,900
route__net__special,2
route__drc_errors__iter:1,228
route__wirelength__iter:1,26461
route__drc_errors__iter:2,70
route__wirelength__iter:2,26297
route__drc_errors__iter:3,48
route__wirelength__iter:3,26268
route__drc_errors__iter:4,2
route__wirelength__iter:4,26264
route__drc_errors__iter:5,0
route__wirelength__iter:5,26261
route__drc_errors,0
route__wirelength,26261
route__vias,5880
route__vias__singlecut,5880
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,393.78
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25904110145673476
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26025901614919356
timing__hold__ws__corner:min_tt_025C_1v80,0.327368807994583
timing__setup__ws__corner:min_tt_025C_1v80,1.974011232570747
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
